created_at,favorite_count,favorited,geo,hashtags,posicion,retweet_count,retweeted,source,text,user_location,user_name
Mon Dec 10 20:26:35 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Daniel Reinoso
Mon Dec 10 20:26:10 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Dr. Carlos Rios Lopez
Mon Dec 10 20:25:11 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",México,Raza de Bronce
Mon Dec 10 20:22:29 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Lord Lucas SF
Mon Dec 10 20:22:21 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Argentina,Athziri
Mon Dec 10 20:19:14 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Trevelín (Chubut) Argentina ,💙💙💙Jorgelina 💙💙💙
Mon Dec 10 20:16:42 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Kenia
Mon Dec 10 20:14:58 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Argentina misiones 😜,💙✨Noemi🦁✨🇦🇷💙
Mon Dec 10 20:10:39 +0000 2018,0,False,,[],no,2,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MonicaElenaCab5: @Belen_Larioss @guadalpur @vox_es Haganse un enorme cartel hnos españoles y escriban
YO VOTE A VOX
Y NO TENEMOS MIEDO…",,Guadalpur. siempre con los que luchan
Mon Dec 10 20:10:27 +0000 2018,0,False,,[],no,9,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @Nicperz: @fundlibre @LiveAction 5 month baby born alive during ilegal abortion, medics abandom him on a table because haven't the heart…",,@milcaalegre
Mon Dec 10 20:09:42 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…","San Juan, Argentina",Jorge L. Cañizares
Mon Dec 10 20:08:01 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,🌠Flor toloza🌠
Mon Dec 10 20:07:13 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Iara Arias💙
Mon Dec 10 20:04:13 +0000 2018,0,False,,[],no,18,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TuKuyRiKuy4: En el Día Internacional de los Derechos Humanos debemos reafirmar nuestro compromiso para defender y respetar los derechos…,Perú,Roberto Pretell
Mon Dec 10 20:03:48 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…","Santa Fé, Argentina",Florencia💙
